epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1258.9,1.7811,3.06681,1.71357,0.43107,0.4216,0.33882,0.1532,2.01313,4.1401,2.0396,0.000166586,0.000166586,0.0668495
2,2508.35,1.70406,2.56796,1.656,0.58887,0.45125,0.44412,0.22547,1.85827,2.32615,1.91307,0.000332924,0.000332924,0.0336825
3,3717.68,1.64974,2.39815,1.621,0.43749,0.50077,0.44853,0.21854,1.83471,2.09986,1.8766,0.000497948,0.000497948,0.000514153
4,4915.66,1.61289,2.20419,1.58607,0.51621,0.54173,0.52503,0.27477,1.80099,1.91291,1.82409,0.000495572,0.000495572,0.000495572
5,6111.18,1.56045,2.05509,1.54959,0.49425,0.60384,0.53088,0.28357,1.74726,2.12528,1.77092,0.000492146,0.000492146,0.000492146
6,7308.4,1.53209,1.94864,1.52686,0.53392,0.60926,0.55406,0.30575,1.70978,1.8936,1.7328,0.000487764,0.000487764,0.000487764
7,8504.32,1.50146,1.85175,1.49499,0.53087,0.63362,0.55683,0.30946,1.72645,1.90829,1.74414,0.000482444,0.000482444,0.000482444
8,9697.91,1.4877,1.79451,1.4908,0.52744,0.63138,0.58394,0.32678,1.70161,1.63685,1.74346,0.000476207,0.000476207,0.000476207
9,10933.9,1.46395,1.74188,1.47092,0.54443,0.65589,0.59592,0.33723,1.68207,1.64363,1.70928,0.000469077,0.000469077,0.000469077
10,12174.4,1.44364,1.6957,1.46242,0.5748,0.66441,0.59911,0.34061,1.66587,1.81581,1.71643,0.000461082,0.000461082,0.000461082
11,13425.7,1.43675,1.66387,1.45538,0.56759,0.68278,0.61114,0.35293,1.66796,1.69957,1.70692,0.000452255,0.000452255,0.000452255
12,14673,1.41481,1.62212,1.44302,0.60307,0.66633,0.62285,0.35875,1.65866,1.56778,1.70564,0.000442629,0.000442629,0.000442629
13,15925,1.39822,1.60545,1.43491,0.56991,0.67849,0.62182,0.36189,1.66396,1.58961,1.73341,0.000432243,0.000432243,0.000432243
14,17177.8,1.40004,1.55306,1.43004,0.57843,0.6961,0.61559,0.3638,1.64482,1.49866,1.68624,0.000421138,0.000421138,0.000421138
15,18424.1,1.37923,1.51025,1.41474,0.57201,0.69527,0.62997,0.37322,1.62934,1.49413,1.68363,0.000409357,0.000409357,0.000409357
16,19667.8,1.36634,1.49812,1.40699,0.58225,0.68597,0.62763,0.37329,1.64821,1.52152,1.69851,0.000396947,0.000396947,0.000396947
17,20937.2,1.3621,1.47228,1.4043,0.58976,0.6987,0.62979,0.37938,1.61014,1.50314,1.67199,0.000383958,0.000383958,0.000383958
18,22185.2,1.35265,1.4256,1.39465,0.59487,0.70858,0.63712,0.37834,1.63147,1.49365,1.68073,0.00037044,0.00037044,0.00037044
19,23439.6,1.33501,1.41652,1.38789,0.60123,0.71265,0.6463,0.38728,1.62789,1.40689,1.67861,0.000356446,0.000356446,0.000356446
20,24694.7,1.33009,1.39606,1.37257,0.60736,0.69721,0.65157,0.39367,1.61908,1.4127,1.68211,0.000342033,0.000342033,0.000342033
21,25956.7,1.31656,1.37231,1.37439,0.59593,0.71888,0.64722,0.39515,1.6097,1.41445,1.65669,0.000327256,0.000327256,0.000327256
22,27231.3,1.31073,1.33465,1.36842,0.60938,0.70617,0.65352,0.39916,1.61376,1.40245,1.67417,0.000312174,0.000312174,0.000312174
23,28489.2,1.30357,1.32477,1.36268,0.60065,0.7308,0.65674,0.39995,1.61206,1.37045,1.66914,0.000296847,0.000296847,0.000296847
24,29735.7,1.28271,1.29024,1.34244,0.59859,0.74026,0.65623,0.40168,1.59015,1.35588,1.64743,0.000281335,0.000281335,0.000281335
25,30930.5,1.28537,1.28582,1.34596,0.6129,0.74083,0.66248,0.40658,1.59337,1.31154,1.64712,0.0002657,0.0002657,0.0002657
26,32117.8,1.26875,1.27529,1.34209,0.60551,0.74104,0.66512,0.41114,1.58118,1.36206,1.6372,0.000250003,0.000250003,0.000250003
27,33324.9,1.26285,1.24361,1.33779,0.61686,0.7418,0.66351,0.40932,1.58911,1.37352,1.65096,0.000234305,0.000234305,0.000234305
28,34516,1.24611,1.22398,1.32955,0.62691,0.73291,0.66328,0.41144,1.593,1.32821,1.6537,0.00021867,0.00021867,0.00021867
29,35682.7,1.24408,1.21336,1.32608,0.61814,0.72997,0.66302,0.41217,1.58103,1.32787,1.63802,0.000203158,0.000203158,0.000203158
30,36866.9,1.23519,1.18691,1.32156,0.6208,0.73932,0.66787,0.41381,1.59477,1.31917,1.658,0.000187831,0.000187831,0.000187831
31,38059.2,1.22186,1.16335,1.31478,0.61405,0.74716,0.66811,0.41397,1.57976,1.31861,1.64125,0.000172749,0.000172749,0.000172749
32,39256.9,1.21869,1.16221,1.3075,0.62997,0.74632,0.6725,0.41801,1.5728,1.2932,1.64022,0.000157972,0.000157972,0.000157972
33,40453.8,1.20566,1.13136,1.30111,0.61664,0.74718,0.67006,0.417,1.57862,1.30318,1.63711,0.000143559,0.000143559,0.000143559
34,41652.7,1.20381,1.12684,1.29415,0.62938,0.73938,0.67111,0.42035,1.57597,1.29268,1.63293,0.000129565,0.000129565,0.000129565
35,42851.5,1.18894,1.11179,1.29069,0.62963,0.73995,0.66995,0.41965,1.57981,1.27009,1.64362,0.000116047,0.000116047,0.000116047
36,44079.4,1.18079,1.09385,1.28055,0.62839,0.73187,0.66619,0.41788,1.58666,1.29826,1.6499,0.000103058,0.000103058,0.000103058
37,45292.6,1.17666,1.0897,1.28347,0.63159,0.73613,0.66766,0.41897,1.58754,1.27729,1.65531,9.06481e-05,9.06481e-05,9.06481e-05
38,46512.3,1.16763,1.0829,1.27835,0.62625,0.7403,0.66899,0.42016,1.58906,1.27926,1.65902,7.88674e-05,7.88674e-05,7.88674e-05
39,47728.7,1.15663,1.05549,1.2701,0.63092,0.73679,0.66844,0.4202,1.58595,1.27965,1.65551,6.77622e-05,6.77622e-05,6.77622e-05
40,48955.2,1.15119,1.04606,1.26473,0.63157,0.73808,0.66841,0.41978,1.58481,1.26581,1.65326,5.73761e-05,5.73761e-05,5.73761e-05
41,50111,1.09303,0.81363,1.23764,0.62647,0.74248,0.66866,0.41868,1.59458,1.26898,1.66002,4.77503e-05,4.77503e-05,4.77503e-05
42,51183.1,1.07638,0.797,1.23011,0.6242,0.748,0.66974,0.4198,1.59349,1.26955,1.6599,3.89226e-05,3.89226e-05,3.89226e-05
