epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,996.596,1.78839,2.06311,0.01313,0.5416,0.54908,0.54457,0.24836,1.91088,1.53301,0.01962,0.000332987,0.000332987,0.0670343
2,1839.44,1.73827,1.52028,0.01274,0.59833,0.64731,0.64105,0.324,1.73847,1.22027,0.01774,0.000666157,0.000666157,0.0340341
3,2667.92,1.68103,1.409,0.01222,0.59048,0.64705,0.64863,0.33,1.75416,1.18599,0.01826,0.000998677,0.000998677,0.00103333
4,3497.16,1.64669,1.34849,0.01189,0.68659,0.70969,0.69584,0.38927,1.63892,1.0202,0.01586,0.000997803,0.000997803,0.000997803
5,4322.84,1.59923,1.27834,0.01144,0.66072,0.71485,0.70135,0.3801,1.67853,0.98752,0.01648,0.000996097,0.000996097,0.000996097
6,5148.54,1.57008,1.23783,0.01117,0.65935,0.74378,0.72548,0.41241,1.59375,0.9258,0.015,0.000993906,0.000993906,0.000993906
7,5974.07,1.55489,1.20417,0.011,0.63716,0.75078,0.71766,0.40653,1.57279,0.91747,0.01459,0.000991232,0.000991232,0.000991232
8,6801.06,1.53866,1.17828,0.01074,0.67099,0.76752,0.74198,0.424,1.57169,0.88095,0.01493,0.000988079,0.000988079,0.000988079
9,7630.59,1.53254,1.14429,0.01056,0.67609,0.76716,0.74555,0.43593,1.54832,0.86495,0.01421,0.000984449,0.000984449,0.000984449
10,8458.78,1.51787,1.14367,0.01054,0.67126,0.79481,0.75839,0.44276,1.53077,0.84127,0.01415,0.000980345,0.000980345,0.000980345
11,9287.84,1.49987,1.11328,0.01039,0.67042,0.78502,0.75888,0.4579,1.49359,0.83077,0.01343,0.000975773,0.000975773,0.000975773
12,10124.1,1.50127,1.10672,0.01029,0.67418,0.79951,0.76027,0.45236,1.51087,0.81742,0.01392,0.000970736,0.000970736,0.000970736
