epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,968.961,1.57952,1.91278,1.55871,0.55749,0.6083,0.581,0.32102,1.57116,1.4646,1.56011,0.0033316,0.0033316,0.0700156
2,1845.86,1.52795,1.43009,1.48368,0.66812,0.64028,0.62954,0.34786,1.54785,1.32012,1.52369,0.00666331,0.00666331,0.040014
3,2714.36,1.56555,1.44582,1.51693,0.64113,0.60644,0.61347,0.32617,1.63787,1.40463,1.62398,0.0099885,0.0099885,0.0100058
4,3578.65,1.56482,1.4199,1.52432,0.69425,0.6491,0.64969,0.35771,1.56845,1.26617,1.56297,0.00997803,0.00997803,0.00997803
5,4444.84,1.52185,1.33392,1.49927,0.63352,0.69736,0.67491,0.37865,1.55052,1.18624,1.54408,0.00996097,0.00996097,0.00996097
6,5312.75,1.48776,1.27937,1.47845,0.71196,0.68637,0.6841,0.3976,1.50166,1.11694,1.50892,0.00993906,0.00993906,0.00993906
7,6180.59,1.46848,1.23376,1.46408,0.70465,0.69946,0.69988,0.40051,1.52049,1.13637,1.52234,0.00991232,0.00991232,0.00991232
8,7047.36,1.45156,1.20782,1.44984,0.7233,0.70536,0.70833,0.41281,1.49874,1.08106,1.50178,0.00988079,0.00988079,0.00988079
9,983.904,1.43616,1.1799,1.44124,0.6547,0.73158,0.7186,0.42855,1.4619,1.06844,1.47658,0.00984449,0.00984449,0.00984449
10,1825.62,1.42569,1.16893,1.43531,0.66837,0.73198,0.71872,0.42533,1.46524,1.01173,1.47013,0.00980345,0.00980345,0.00980345
11,2667.98,1.41202,1.14269,1.42449,0.72666,0.74089,0.72773,0.44038,1.43984,0.98934,1.44539,0.00975773,0.00975773,0.00975773
12,3509.03,1.40377,1.13117,1.41652,0.73666,0.72653,0.72829,0.43949,1.43684,0.9872,1.44082,0.00970736,0.00970736,0.00970736
13,4349.89,1.39277,1.115,1.40954,0.73757,0.73825,0.73456,0.44565,1.42347,0.95932,1.43649,0.00965239,0.00965239,0.00965239
14,5187.29,1.38201,1.1011,1.39958,0.66454,0.78178,0.7409,0.45464,1.41048,0.92653,1.42637,0.00959289,0.00959289,0.00959289
15,6025.99,1.37829,1.08074,1.39691,0.70131,0.76017,0.74403,0.45507,1.4096,0.92123,1.42003,0.00952889,0.00952889,0.00952889
16,6864.88,1.3695,1.07914,1.39095,0.66371,0.75996,0.74622,0.45901,1.40403,0.91514,1.41703,0.00946048,0.00946048,0.00946048
17,7703.94,1.37872,1.08578,1.39422,0.68969,0.77026,0.75517,0.46686,1.39902,0.9051,1.41583,0.00938772,0.00938772,0.00938772
18,8541.97,1.37497,1.08806,1.39226,0.70072,0.76261,0.75575,0.46841,1.39442,0.90277,1.40506,0.00931067,0.00931067,0.00931067
19,9379.09,1.36914,1.07907,1.38874,0.69554,0.77521,0.75568,0.47083,1.38894,0.90093,1.40711,0.00922942,0.00922942,0.00922942
20,10215.6,1.36809,1.06921,1.38795,0.67919,0.79448,0.75933,0.47168,1.38728,0.88475,1.40373,0.00914405,0.00914405,0.00914405
21,11052.8,1.36203,1.06269,1.3871,0.67329,0.80211,0.7591,0.47375,1.38127,0.89218,1.40104,0.00905463,0.00905463,0.00905463
22,11889.8,1.35602,1.05213,1.38066,0.68098,0.80403,0.76245,0.47575,1.37557,0.87632,1.39662,0.00896127,0.00896127,0.00896127
23,12725.7,1.34974,1.04583,1.37468,0.68599,0.80603,0.7666,0.47897,1.37394,0.87762,1.39243,0.00886404,0.00886404,0.00886404
24,13560.8,1.3509,1.04576,1.37865,0.68098,0.81124,0.7659,0.47854,1.37645,0.87328,1.39415,0.00876305,0.00876305,0.00876305
25,14397.7,1.34294,1.02985,1.37124,0.67815,0.81605,0.76593,0.47952,1.37182,0.87072,1.39325,0.00865839,0.00865839,0.00865839
26,15235.8,1.3419,1.0336,1.37263,0.68806,0.81423,0.76701,0.48073,1.37234,0.86386,1.39307,0.00855018,0.00855018,0.00855018
27,16073.5,1.33733,1.02841,1.36925,0.68505,0.8136,0.76763,0.48252,1.37033,0.86156,1.39012,0.00843851,0.00843851,0.00843851
28,16908.4,1.33619,1.02398,1.36618,0.68165,0.82179,0.7678,0.48311,1.3682,0.8601,1.38817,0.00832349,0.00832349,0.00832349
29,17744.6,1.33138,1.01895,1.36208,0.68452,0.81975,0.76802,0.4839,1.36659,0.85885,1.38661,0.00820525,0.00820525,0.00820525
30,18581,1.33218,1.01584,1.36404,0.68421,0.82009,0.76867,0.48453,1.36371,0.85866,1.38474,0.00808389,0.00808389,0.00808389
31,19417.4,1.32607,1.01095,1.36039,0.68556,0.81993,0.76889,0.48453,1.36204,0.85665,1.38364,0.00795954,0.00795954,0.00795954
32,20256.3,1.32617,1.01038,1.35787,0.68308,0.82176,0.76852,0.48413,1.36135,0.85753,1.38232,0.00783231,0.00783231,0.00783231
33,21100.8,1.32336,1.0058,1.35693,0.68295,0.82379,0.76966,0.48507,1.3598,0.8565,1.38123,0.00770234,0.00770234,0.00770234
34,22220.4,1.31621,0.99955,1.3498,0.68684,0.82301,0.76986,0.48506,1.35889,0.85555,1.37999,0.00756976,0.00756976,0.00756976
35,23059.2,1.31546,0.99371,1.34861,0.68386,0.82632,0.77101,0.48595,1.35808,0.85344,1.37914,0.00743468,0.00743468,0.00743468
36,23898.1,1.31542,0.99396,1.34728,0.68374,0.82727,0.77105,0.48658,1.35763,0.85165,1.37865,0.00729725,0.00729725,0.00729725
